 id_mutation;valeur_fonciere;adresse_numero;adresse_code_voie;id_parcelle;code_type_local;surface_reelle_bati;nombre_pieces_principales;surface_terrain
2015-1105355;325000.0;19.0;600;94079000AE0362;1;78.0;3.0;307.0
2014-1021497;329000.0;51.0;660;94079000AE0065;1;89.0;4.0;480.0
2014-1020957;343000.0;27.0;510;94079000AE0168;1;58.0;3.0;419.0
2014-1020921;415000.0;31.0;400;94079000AE0191;1;110.0;5.0;400.0
2014-1020596;688000.0;14.0;190;94079000AE0379;1;169.0;4.0;402.0
2014-1020534;250000.0;98.0;195;94079000AE0116;1;70.0;3.0;425.0
2014-1020539;283000.0;2.0;220;94079000AE0332;1;66.0;3.0;nan
2014-1020539;283000.0;2.0;220;94079000AE0332;3;nan;0.0;nan
2014-1020524;320000.0;50.0;600;94079000AE0258;1;55.0;3.0;618.0
2014-1020181;325000.0;39.0;220;94079000AE0004;1;66.0;4.0;327.0
2014-1020181;325000.0;39.0;220;94079000AE0004;4;87.0;0.0;327.0
2014-1020181;325000.0;nan;220;94079000AE0005;None;nan;nan;40.0
2014-1019682;322000.0;2.0;220;94079000AE0332;1;73.0;3.0;nan
2014-1019682;322000.0;2.0;220;94079000AE0332;3;nan;0.0;nan
2014-1019724;295000.0;3.0;400;94079000AE0297;None;nan;nan;498.0
2014-1019724;295000.0;3.0;400;94079000AE0297;None;nan;nan;164.0
2014-1019318;251000.0;25.0;280;94079000AE0332;1;77.0;3.0;nan
2014-1019318;251000.0;25.0;280;94079000AE0332;3;nan;0.0;nan
2014-1019360;390500.0;58.0;910;94079000AE0208;1;110.0;5.0;501.0
2014-1019237;104000.0;2.0;220;94079000AE0332;1;77.0;3.0;nan
2014-1019237;104000.0;2.0;220;94079000AE0332;3;nan;0.0;nan
2014-1019151;325000.0;2.0;220;94079000AE0332;1;77.0;3.0;nan
2014-1019151;325000.0;2.0;220;94079000AE0332;3;nan;0.0;nan
